,name,repository
299,async-trait,https://github.com/dtolnay/async-trait
300,proc-macro2,https://github.com/dtolnay/proc-macro2
301,rustversion,https://github.com/dtolnay/rustversion
302,xmltree,https://github.com/eminence/xmltree-rs
303,findshlibs,https://github.com/gimli-rs/findshlibs
304,hermit-abi,https://github.com/hermit-os/hermit-rs
305,matchit,https://github.com/ibraheemdev/matchit
306,cexpr,https://github.com/jethrogb/rust-cexpr
307,num_threads,https://github.com/jhpratt/num_threads
308,serde_with,https://github.com/jonasbb/serde_with/
309,serde_with_macros,https://github.com/jonasbb/serde_with/
310,crc,https://github.com/mrhooray/crc-rs.git
311,mock_instant,https://github.com/museun/mock_instant
312,synstructure,https://github.com/mystor/synstructure
313,adler32,https://github.com/remram44/adler32-rs
314,env_logger,https://github.com/rust-cli/env_logger
315,env_filter,https://github.com/rust-cli/env_logger
316,derive_arbitrary,https://github.com/rust-fuzz/arbitrary
317,hashbrown,https://github.com/rust-lang/hashbrown
318,convert_case,https://github.com/rutrum/convert-case
319,serde_qs,https://github.com/samscott89/serde_qs
320,reqwest,https://github.com/seanmonstar/reqwest
321,unicase,https://github.com/seanmonstar/unicase
322,smallvec,https://github.com/servo/rust-smallvec
323,pin-project,https://github.com/taiki-e/pin-project
324,pin-project-internal,https://github.com/taiki-e/pin-project
325,intrusive-collections,https://github.com/amanieu/intrusive-rs
326,conv,https://github.com/danielkeep/rust-conv
327,yaml-rust2,https://github.com/ethiraric/yaml-rust2
328,pathdiff,https://github.com/manishearth/pathdiff
329,triomphe,https://github.com/manishearth/triomphe
330,pico-args,https://github.com/razrfalcon/pico-args
331,utf-8,https://github.com/simonsapin/rust-utf8
332,tinyvec_macros,https://github.com/soveu/tinyvec_macros
333,ident_case,https://github.com/teddriggs/ident_case
334,mime_guess,https://github.com/abonander/mime_guess
335,delay_map,https://github.com/agemanning/delay_map
336,fs-err,https://github.com/andrewhickman/fs-err
337,untrusted,https://github.com/briansmith/untrusted
338,dirs-sys,https://github.com/dirs-dev/dirs-sys-rs
339,rustc_version,https://github.com/djc/rustc-version-rs
340,erased-serde,https://github.com/dtolnay/erased-serde
341,prettyplease,https://github.com/dtolnay/prettyplease
342,structmeta,https://github.com/frozenlib/structmeta
343,structmeta-derive,https://github.com/frozenlib/structmeta
344,open-fastrlp-derive,https://github.com/gakonst/open-fastrlp
345,open-fastrlp,https://github.com/gakonst/open-fastrlp
346,dary_heap,https://github.com/hanmertens/dary_heap
347,indexmap,https://github.com/indexmap-rs/indexmap
348,ascii-canvas,https://github.com/lalrpop/ascii-canvas
349,windows-implement,https://github.com/microsoft/windows-rs
350,windows-interface,https://github.com/microsoft/windows-rs
351,windows_i686_gnullvm,https://github.com/microsoft/windows-rs
352,windows_aarch64_gnullvm,https://github.com/microsoft/windows-rs
353,windows_i686_gnu,https://github.com/microsoft/windows-rs
354,windows_x86_64_gnu,https://github.com/microsoft/windows-rs
355,windows-strings,https://github.com/microsoft/windows-rs
356,windows-registry,https://github.com/microsoft/windows-rs
357,windows-targets,https://github.com/microsoft/windows-rs
358,windows-sys,https://github.com/microsoft/windows-rs
359,windows_x86_64_gnullvm,https://github.com/microsoft/windows-rs
360,windows_x86_64_msvc,https://github.com/microsoft/windows-rs
361,windows-core,https://github.com/microsoft/windows-rs
362,windows,https://github.com/microsoft/windows-rs
363,windows-result,https://github.com/microsoft/windows-rs
364,windows_aarch64_msvc,https://github.com/microsoft/windows-rs
365,windows_i686_msvc,https://github.com/microsoft/windows-rs
366,serde_urlencoded,https://github.com/nox/serde_urlencoded
367,nu-ansi-term,https://github.com/nushell/nu-ansi-term
368,serial_test_derive,https://github.com/palfrey/serial_test/
369,serial_test,https://github.com/palfrey/serial_test/
370,fixedbitset,https://github.com/petgraph/fixedbitset
371,konst_macro_rules,https://github.com/rodrimati1992/konst/
372,konst,https://github.com/rodrimati1992/konst/
373,anstyle-query,https://github.com/rust-cli/anstyle.git
374,colorchoice,https://github.com/rust-cli/anstyle.git
375,arbitrary,https://github.com/rust-fuzz/arbitrary/
376,rustc-hash,https://github.com/rust-lang/rustc-hash
377,httparse,https://github.com/seanmonstar/httparse
378,num_cpus,https://github.com/seanmonstar/num_cpus
379,async-signal,https://github.com/smol-rs/async-signal
380,atomic-waker,https://github.com/smol-rs/atomic-waker
381,crc32fast,https://github.com/srijs/rust-crc32fast
382,quick-protobuf,https://github.com/tafia/quick-protobuf
383,wasmtimer,https://github.com/whizsid/wasmtimer-rs
384,unwrap_none,https://github.com/demindiro/unwrap_none
385,memmap2,https://github.com/razrfalcon/memmap2-rs
386,android-tzdata,https://github.com/rumovz/android-tzdata
387,nonzero_ext,https://github.com/antifuchs/nonzero_ext
388,tinytemplate,https://github.com/bheisler/tinytemplate
389,criterion-plot,https://github.com/bheisler/criterion.rs
390,bimap,https://github.com/billyrieger/bimap-rs/
391,serde_path_to_error,https://github.com/dtolnay/path-to-error
392,unicode-ident,https://github.com/dtolnay/unicode-ident
393,cpp_demangle,https://github.com/gimli-rs/cpp_demangle
394,which,https://github.com/harryfei/which-rs.git
395,num_enum_derive,https://github.com/illicitonion/num_enum
396,num_enum,https://github.com/illicitonion/num_enum
397,r2d2_sqlite,https://github.com/ivanceras/r2d2-sqlite
398,aquamarine,https://github.com/mersinvald/aquamarine
399,getrandom,https://github.com/rust-random/getrandom
400,openssl-sys,https://github.com/sfackler/rust-openssl
401,openssl,https://github.com/sfackler/rust-openssl
402,ethereum_hashing,https://github.com/sigp/ethereum_hashing
403,async-channel,https://github.com/smol-rs/async-channel
404,async-process,https://github.com/smol-rs/async-process
405,schannel,https://github.com/steffengy/schannel-rs
406,async-stream-impl,https://github.com/tokio-rs/async-stream
407,async-stream,https://github.com/tokio-rs/async-stream
408,encode_unicode,https://github.com/tormol/encode_unicode
409,test-fuzz-internal,https://github.com/trailofbits/test-fuzz
410,test-fuzz-runtime,https://github.com/trailofbits/test-fuzz
411,test-fuzz,https://github.com/trailofbits/test-fuzz
412,test-fuzz-macro,https://github.com/trailofbits/test-fuzz
413,levenshtein,https://github.com/wooorm/levenshtein-rs
414,sysinfo,https://github.com/guillaumegomez/sysinfo
415,ctr,https://github.com/rustcrypto/block-modes
416,proc-macro-crate,https://github.com/bkchr/proc-macro-crate
417,crossterm,https://github.com/crossterm-rs/crossterm
418,basic-cookies,https://github.com/drjokepu/basic-cookies
419,unsafe-libyaml,https://github.com/dtolnay/unsafe-libyaml
420,terminal_size,https://github.com/eminence/terminal-size
421,inotify-sys,https://github.com/hannobraun/inotify-sys
422,darwin-libproc,https://github.com/heim-rs/darwin-libproc
423,darwin-libproc-sys,https://github.com/heim-rs/darwin-libproc
424,interprocess,https://github.com/kotauskas/interprocess
425,blake2b_simd,https://github.com/oconnor663/blake2_simd
426,cargo_metadata,https://github.com/oli-obk/cargo_metadata
427,exit-future,https://github.com/paritytech/exit-future
428,regress,https://github.com/ridiculousfish/regress
429,foreign-types,https://github.com/sfackler/foreign-types
430,foreign-types-shared,https://github.com/sfackler/foreign-types
431,tokio-postgres,https://github.com/sfackler/rust-postgres
432,postgres-protocol,https://github.com/sfackler/rust-postgres
433,postgres-types,https://github.com/sfackler/rust-postgres
434,async-executor,https://github.com/smol-rs/async-executor
435,event-listener,https://github.com/smol-rs/event-listener
436,thread_local,https://github.com/amanieu/thread_local-rs
437,asn1_der,https://github.com/kizzycode/asn1_der-rust
438,fast-float,https://github.com/aldanor/fast-float-rust
439,httpmock,https://github.com/alexliesenfeld/httpmock
440,auto_impl,https://github.com/auto-impl-rs/auto_impl/
441,rustix,https://github.com/bytecodealliance/rustix
442,constant_time_eq,https://github.com/cesarb/constant_time_eq
443,precomputed-hash,https://github.com/emilio/precomputed-hash
444,parse-display,https://github.com/frozenlib/parse-display
445,parse-display-derive,https://github.com/frozenlib/parse-display
446,serde_html_form,https://github.com/jplatte/serde_html_form
447,errno,https://github.com/lambda-fairy/rust-errno
448,derivative,https://github.com/mcarton/rust-derivative
449,libloading,https://github.com/nagisa/rust_libloading/
450,libsecp256k1-gen-genmult,https://github.com/paritytech/libsecp256k1
451,libsecp256k1,https://github.com/paritytech/libsecp256k1
452,libsecp256k1-gen-ecmult,https://github.com/paritytech/libsecp256k1
453,libsecp256k1-core,https://github.com/paritytech/libsecp256k1
454,bit_field,https://github.com/phil-opp/rust-bit-field
455,instability,https://github.com/ratatui-org/instability
456,metrics-derive,https://github.com/rkrasiuk/metrics-derive
457,pkg-config,https://github.com/rust-lang/pkg-config-rs
458,psutil,https://github.com/rust-psutil/rust-psutil
459,widestring,https://github.com/starkat99/widestring-rs
460,iana-time-zone-haiku,https://github.com/strawlab/iana-time-zone
461,iana-time-zone,https://github.com/strawlab/iana-time-zone
462,is-terminal,https://github.com/sunfishcode/is-terminal
463,portable-atomic,https://github.com/taiki-e/portable-atomic
464,roaring,https://github.com/roaringbitmap/roaring-rs
465,aes,https://github.com/rustcrypto/block-ciphers
466,crypto-bigint,https://github.com/rustcrypto/crypto-bigint
467,crc-catalog,https://github.com/akhilles/crc-catalog.git
468,futures-ticker,https://github.com/antifuchs/futures-ticker
469,enum-as-inner,https://github.com/bluejekyll/enum-as-inner
470,wasi,https://github.com/bytecodealliance/wasi-rs
471,nohash-hasher,https://github.com/paritytech/nohash-hasher
472,keccak-hash,https://github.com/paritytech/parity-common
473,triehash,https://github.com/paritytech/parity-common
474,rlp,https://github.com/paritytech/parity-common
475,bech32,https://github.com/rust-bitcoin/rust-bech32
476,itertools,https://github.com/rust-itertools/itertools
477,native-tls,https://github.com/sfackler/rust-native-tls
478,stringprep,https://github.com/sfackler/rust-stringprep
479,concurrent-queue,https://github.com/smol-rs/concurrent-queue
480,io-lifetimes,https://github.com/sunfishcode/io-lifetimes
481,pin-project-lite,https://github.com/taiki-e/pin-project-lite
482,wasix,https://github.com/wasix-org/wasix-abi-rust
483,kv-log-macro,https://github.com/yoshuawuyts/kv-log-macro
484,field-offset,https://github.com/diggsey/rust-field-offset
485,hash_hasher,https://github.com/fraser999/hash-hasher.git
486,salsa20,https://github.com/rustcrypto/stream-ciphers
487,chacha20,https://github.com/rustcrypto/stream-ciphers
488,generic-array,https://github.com/fizyk20/generic-array.git
489,adler,https://github.com/jonas-schievink/adler.git
490,similar-asserts,https://github.com/mitsuhiko/similar-asserts
491,async_io_stream,https://github.com/najamelan/async_io_stream
492,modular-bitfield-impl,https://github.com/robbepop/modular-bitfield
493,modular-bitfield,https://github.com/robbepop/modular-bitfield
494,tokio-io-timeout,https://github.com/sfackler/tokio-io-timeout
495,ethereum_serde_utils,https://github.com/sigp/ethereum_serde_utils
496,linux-raw-sys,https://github.com/sunfishcode/linux-raw-sys
497,base64,https://github.com/marshallpierce/rust-base64
498,unsigned-varint,https://github.com/paritytech/unsigned-varint
499,route-recognizer,https://github.com/rustasync/route-recognizer
500,minimal-lexical,https://github.com/alexhuszagh/minimal-lexical
501,include_dir_macros,https://github.com/michael-f-bryan/include_dir
502,include_dir,https://github.com/michael-f-bryan/include_dir
503,async-compression,https://github.com/nullus157/async-compression
504,polyval,https://github.com/rustcrypto/universal-hashes
