,quarter,from_project_name,grant_pool_name,to_project_name,total_funding
335,2021-04-01 00:00:00+00:00,gitcoin,CGrants - Direct,hardhat-nomicfoundation,232.5974660034912
336,2022-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,prysmaticlabs,2245.886223068777
337,2022-10-01 00:00:00+00:00,gitcoin,CGrants - Direct,prysmaticlabs,2021.927921973
338,2020-10-01 00:00:00+00:00,gitcoin,CGrants - Direct,lighthouse-sigp,471.57928694437993
339,2022-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,wevm,80.55684896769
340,2023-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,go-ethereum,122.20635
341,2019-04-01 00:00:00+00:00,gitcoin,GG-02,lighthouse-sigp,2590.0
342,2020-04-01 00:00:00+00:00,gitcoin,GG-06,lighthouse-sigp,2922.5786355370838
343,2020-07-01 00:00:00+00:00,gitcoin,GG-06,teku-consensys,51.46428072888952
344,2020-07-01 00:00:00+00:00,gitcoin,GG-07,vyperlang,1833.4335922895227
345,2021-01-01 00:00:00+00:00,gitcoin,GG-09,prettier-solidity,3009.486969117071
346,2021-01-01 00:00:00+00:00,gitcoin,GG-09,hardhat-nomicfoundation,7344.251698878966
347,2021-04-01 00:00:00+00:00,gitcoin,GG-10,vyperlang,8178.664700416512
348,2021-04-01 00:00:00+00:00,gitcoin,GG-10,prysmaticlabs,301266.36009480443
349,2021-10-01 00:00:00+00:00,gitcoin,GG-12,prysmaticlabs,174613.59814351072
350,2021-10-01 00:00:00+00:00,gitcoin,GG-12,lighthouse-sigp,33923.37279950737
351,2022-01-01 00:00:00+00:00,gitcoin,GG-13,lighthouse-sigp,8894.040074648181
352,2022-01-01 00:00:00+00:00,gitcoin,GG-13,wevm,6056.34430674815
353,2022-07-01 00:00:00+00:00,gitcoin,GG-15,lighthouse-sigp,39985.68302976846
354,2022-07-01 00:00:00+00:00,gitcoin,GG-15,openzeppelin,27431.194992929726
355,2023-07-01 00:00:00+00:00,gitcoin,GG-18 - 0x222ea76664ed77d18d4416d2b2e77937b76f0a35,wevm,14037.476405206136
356,2023-07-01 00:00:00+00:00,gitcoin,GG-18 - 0x222ea76664ed77d18d4416d2b2e77937b76f0a35,lighthouse-sigp,6240.806613295339
357,2023-07-01 00:00:00+00:00,gitcoin,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,wighawag,173.47959711456178
358,,gitcoin,GG-19 - 0xa1d52f9b5339792651861329a046dd912761e9a9,openzeppelin,19861.2903098125
359,2023-10-01 00:00:00+00:00,gitcoin,GG-19 - 0xa1d52f9b5339792651861329a046dd912761e9a9,openzeppelin,4651.466179604733
360,2024-04-01 00:00:00+00:00,gitcoin,GG-20 - 25,wighawag,254.65706807146955
361,2024-04-01 00:00:00+00:00,gitcoin,GG-20 - 26,ipfs,8784.249392533759
362,2024-04-01 00:00:00+00:00,gitcoin,GG-20 - 26,lighthouse-sigp,6578.291140117231
363,2024-04-01 00:00:00+00:00,gitcoin,GG-20 - 27,ethers-io,32879.365085006386
364,2024-10-01 00:00:00+00:00,gitcoin,GG-22 - 610,lodestar-chainsafe,3654.2658928532805
365,2019-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,ethers-io,120.0
366,2020-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,ethers-io,1027.4541955921181
367,2022-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,hardhat-nomicfoundation,156.5816730655034
368,2020-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,vyperlang,25.25
